title,id,date,bucket,confidence,num_assets,file
NGO About Us,07652731-fa91-48b0-bead-a7c8183fc57e,2024-02-11,Nivy Care Foundation (CSR),5,0,Nivy_Care_Foundation_CSR/NGO_About_Us__07652731.md
Digital Marketing Plan,07b24c0d-6419-48c6-9cea-e79669c10d6a,2024-07-30,Nivy Next (Digital Marketing & AI),10,0,Nivy_Next_Digital_Marketing_AI/Digital_Marketing_Plan__07b24c0d.md
Odoo Bulk Offer Sending.,0b6468cc-9d78-452c-a3d0-80ad4e541a8c,2024-03-30,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Odoo_Bulk_Offer_Sending__0b6468cc.md
Free Job Posting Sites,0f336e81-01d4-4b13-ad4a-5900162077df,2024-01-14,Nivy Jobs,5,0,Nivy_Jobs/Free_Job_Posting_Sites__0f336e81.md
Personal Webpage Creation.,1091253c-7526-48f2-9c87-b4254f17432e,2023-08-05,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Personal_Webpage_Creation__1091253c.md
Increased Lead Cost: Facebook,12e37cab-9755-4f2f-83f5-cd30c9e120fe,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Increased_Lead_Cost_Facebook__12e37cab.md
Extract Indeed data.,183f8a5a-1028-4005-a970-a8fd6bf258c4,2023-06-28,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Extract_Indeed_data__183f8a5a.md
Employee Termination Letter,1aab5210-8562-4b80-8f5d-202424cf11f3,2024-01-05,Shared - Company-Wide Systems,5,0,Shared_-_Company-Wide_Systems/Employee_Termination_Letter__1aab5210.md
GST Registration: Benefits & Process,2459d4cf-c9b3-4b61-a284-ea3e9431c0be,2023-07-07,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/GST_Registration_Benefits_Process__2459d4cf.md
Import Kontak Massal Odoo,307e1d7a-daac-493b-b362-2b90a3bcc897,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Import_Kontak_Massal_Odoo__307e1d7a.md
Creating Business Profile,312afb30-cb48-40de-857a-2e2652da0b39,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Creating_Business_Profile__312afb30.md
How to Use Dermaroller,3157260c-f386-4c67-90ad-9737ccb2fb5a,2024-08-31,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/How_to_Use_Dermaroller__3157260c.md
Laptop Undertaking Letter,317f3033-24e6-44c5-a5c4-145bb214a377,2024-01-02,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Laptop_Undertaking_Letter__317f3033.md
Company Registration Time PH,32e0e19a-40ac-496a-8d25-63229a3ff387,2024-01-29,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Company_Registration_Time_PH__32e0e19a.md
Download Limit: One DSC,3439cd5f-9719-4544-83b5-c91d02845c60,2024-02-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Download_Limit_One_DSC__3439cd5f.md
Digital Marketing Agency Plan,36c0ef30-5eed-40b3-b547-b8aaf7c7d6ea,2026-07-14,Nivy Next (Digital Marketing & AI),11,0,Nivy_Next_Digital_Marketing_AI/Digital_Marketing_Agency_Plan__36c0ef30.md
AI Data Extraction from Indeed,38fcc0e3-83a3-4101-b143-50b6e35e1aea,2023-06-27,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/AI_Data_Extraction_from_Indeed__38fcc0e3.md
Prostitution in India.,3be0c8f9-7ee5-44b5-abbd-a2520db20ff7,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Prostitution_in_India__3be0c8f9.md
Increase Brand Visibility,3c98f94d-182c-4c76-bf59-9edc038ae6e7,2024-07-18,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/Increase_Brand_Visibility__3c98f94d.md
Instagram Shop Overview,3f0b0133-0421-43ab-b510-f2668970276b,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Instagram_Shop_Overview__3f0b0133.md
Organic Farming Definition,42dfc84b-a329-4914-ad2f-22a60cbf8de5,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Organic_Farming_Definition__42dfc84b.md
Filtering Unqualified Leads,49493e9e-74ef-4a27-ab85-6d7c71ed8065,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Filtering_Unqualified_Leads__49493e9e.md
LLC Audit Cost USA,4b0a3179-aa23-489f-a117-1a2581604650,2026-07-14,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/LLC_Audit_Cost_USA__4b0a3179.md
Fetch Documents from DigiLocker,4b16f348-bc70-41ba-9860-bd69ac1ced44,2024-03-24,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Fetch_Documents_from_DigiLocker__4b16f348.md
Change WhatsApp storage.,5171050c-e3c5-4be5-8034-f9797d89023c,2024-01-13,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Change_WhatsApp_storage__5171050c.md
GST Registration Documents,59748400-6d41-45f1-9848-18a83561b090,2026-07-14,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/GST_Registration_Documents__59748400.md
Odoo Invoicing and Accounting,5de9dd48-4686-48a1-80d3-e0ea2bf200c9,2026-07-14,Nivy Advisory (Tax & Accounting),10,0,Nivy_Advisory_Tax_Accounting/Odoo_Invoicing_and_Accounting__5de9dd48.md
Attraction Factors: Women's Preferences,5e5f8f40-ee37-4d1d-a6e1-c8647529a4c7,2026-07-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Attraction_Factors_Womens_Preferences__5e5f8f40.md
Startup India Registration Criteria,604f30a7-8049-4027-8477-56a452fa5b3f,2024-01-27,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Startup_India_Registration_Criteria__604f30a7.md
NGO mission statement.,61ab5432-2189-4c4b-b9c5-bf7ea0826afc,2023-04-19,Nivy Care Foundation (CSR),5,0,Nivy_Care_Foundation_CSR/NGO_mission_statement__61ab5432.md
Bank Statement to Balance,6328bf22-f7db-4fc3-9a32-874e8896d8dc,2024-01-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Bank_Statement_to_Balance__6328bf22.md
Types of Consumers,66dc2b84-d2ec-800f-a50f-6199c9d01b61,2024-09-07,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Types_of_Consumers__66dc2b84.md
Effective Lead Nurturing Tips,66dca721-58f8-800f-8839-bc303da3a80f,2024-09-07,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Effective_Lead_Nurturing_Tips__66dca721.md
Statutory Audit Overview,66df0ce4-0a58-800f-84ba-b5cf19d2ceb5,2024-09-09,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/Statutory_Audit_Overview__66df0ce4.md
Open Source VoIP Solutions,66df8222-6584-800f-be43-d38d9a484f85,2024-09-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Open_Source_VoIP_Solutions__66df8222.md
Untitled,66e1de13-bc00-800f-8774-0496ad1a54a9,2024-09-11,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Untitled__66e1de13.md
Mautic Installation Guide,66e1e354-3d48-800f-9846-a3c0a39f0df6,2024-09-11,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Mautic_Installation_Guide__66e1e354.md
New chat,66e48b61-3b7c-800f-8106-eb4ff37e19e9,2024-09-13,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/New_chat__66e48b61.md
Advantage+ Audience Benefits,66e6ddad-3eb4-800f-8eca-fdd0b6ce7f99,2024-09-15,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Advantage_Audience_Benefits__66e6ddad.md
Understanding Romantic Preferences,66e9682b-4f64-800f-bf58-d1cdbaefe5f9,2024-09-17,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Understanding_Romantic_Preferences__66e9682b.md
Reasons for Business Dissatisfaction,66e9a79f-2d50-800f-b91f-815885dc7dcb,2024-09-17,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Reasons_for_Business_Dissatisfaction__66e9a79f.md
Reasons for Reminding Loved Ones,66eb1519-6830-800f-811b-a47da9401a3f,2024-09-18,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Reasons_for_Reminding_Loved_Ones__66eb1519.md
Open Source Email Marketing,66edd192-27b4-800f-9144-46d94ca77f65,2024-09-20,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Open_Source_Email_Marketing__66edd192.md
Peace in Relationships,66ef13f9-13ac-800f-a4ff-e682b01ad1ee,2024-09-21,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Peace_in_Relationships__66ef13f9.md
Reasons for Service Business Failure,66f26a81-e388-800f-af94-149386a90b0b,2024-09-24,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Reasons_for_Service_Business_Failure__66f26a81.md
