original_filename,new_folder,new_filename
#L01f30a Nivy Digital #U2014 Inbound Marketing & Relationship  359b3416c76d818e9aa2e3ef8c9a8b90.md,Nivy Digital (Digital Marketing arm),Nivy Digital  Inbound Marketing & Relationship.md
#L01f30d Freebies Funnel #U2014 Sales & Marketing Strategy 2c1b3416c76d8075bb36e4cd2c6c092d.md,Nivy Alliance (Partner Program),Freebies Funnel  Sales & Marketing Strategy.md
#L01f30d Freelancer Partner Program #U2013 Proposal 2b7b3416c76d80d3bc05c8f155fcb6bd.md,Nivy Next (Digital Marketing & AI),Freelancer Partner Program  Proposal.md
#L01f30d Global Expansion #U2014 30-Day Action Plan 28fb3416c76d80d3bc53c39c148c1208.md,Nivy Alliance (Partner Program),Global Expansion  30-Day Action Plan.md
#L01f30d Global Social Media Management Packages 2b3b3416c76d80ff9fd9fac54f9e0820.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Global Social Media Management Packages.md
#L01f30d MASTER LIST WHAT ACTUALLY BRINGS CLIENTS & MONEY 2c8b3416c76d80ccbb01cc565c75310e.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,MASTER LIST WHAT ACTUALLY BRINGS CLIENTS & MONEY.md
#L01f30d Market & Community 340b3416c76d8106a4d0eddf82f2e317.md,Nivy Nexus (Business Community),Market & Community.md
#L01f30d Master Global Business Directories 2fbb3416c76d8004bfb0c320a0391eb0.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,Master Global Business Directories.md
#L01f30d Proof & Results #U2014 International Standard 34db3416c76d8015826fc2982ef1591b.md,Miscellaneous & Uncategorized,Proof & Results  International Standard.md
#L01f30d Service Delivery System #U2014 International Standard 34db3416c76d80d79499e4ef0d5e3e52.md,Nivy Global (Master Brand & HQ)/Shared Departments/Operations,Service Delivery System  International Standard.md
#L01f30d TIER-1 INTERNATIONAL SALES FUNNEL (END-TO-END) 2c8b3416c76d809b85bfe5fabf840d74.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,TIER-1 INTERNATIONAL SALES FUNNEL (END-TO-END).md
#L01f30d Team Structure #U2014 International Agency Standard 34db3416c76d80119ddbd41a956cd5ea.md,Miscellaneous & Uncategorized,Team Structure  International Agency Standard.md
"#L01f30d Tier 1, 2 & 3 Countries #U2014 Online Presence Requir 2c8b3416c76d80d88302ffa286811394.md",Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,"Tier 1, 2 & 3 Countries  Online Presence Requir.md"
#L01f30d Universal Framework #U2014 Nivy Platform Model 2e1b3416c76d8050b544fd870d974e91.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,Universal Framework  Nivy Platform Model.md
#L01f310 INSTRUCTION PAGE CONTENT (Exact Structure & Copy 2c9b3416c76d81938120cfa04275bc23.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,INSTRUCTION PAGE CONTENT (Exact Structure & Copy.md
#L01f310 Inbound & Outbound Online Presence Strategy 2c9b3416c76d807e89ebe60dd2ab5c62.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,Inbound & Outbound Online Presence Strategy.md
#L01f310 Nivy Global #U2014 Division Home 310b3416c76d81679396dea47823cea9.md,Nivy Global (Master Brand & HQ),Nivy Global  Division Home.md
#L01f310 Online Presence Platforms #U2014 Sales & Marketing Gu 2b4b3416c76d8012b037cdf1f23dd7dd.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Online Presence Platforms  Sales & Marketing Gu.md
#L01f310 Social Media & Online Presence System 355b3416c76d81349326dc4d900098f7.md,Nivy Next (Digital Marketing & AI),Social Media & Online Presence System.md
#L01f310 Website & Digital Products 336b3416c76d8195a708c429e87fb828.md,Miscellaneous & Uncategorized/Empty Template Stubs,Website & Digital Products.md
#L01f310 Website Development #U2014 Service Page 355b3416c76d81319734db80b4d868b8.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,Website Development  Service Page.md
#L01f310 Website Development #U2014 Service Page 355b3416c76d816baa45f37b24bf6d5d.md,Nivy Next (Digital Marketing & AI),Website Development  Service Page.md
#L01f338 Decoration & Venue Plan 36ab3416c76d8175bfacd0408a2fc747.md,Wedding Planning (Personal - Unrelated to Business),Decoration & Venue Plan.md
#L01f33b Mayan #U2014 Complete Plan 36ab3416c76d81c9b02fde14b89497dd.md,Wedding Planning (Personal - Unrelated to Business),Mayan  Complete Plan.md
#L01f33f Haldi #U2014 Complete Plan 36ab3416c76d81eba312d66ea61cd930.md,Wedding Planning (Personal - Unrelated to Business),Haldi  Complete Plan.md
#L01f33f Madwa #U2014 Complete Plan 36ab3416c76d81d5bb26fe31aa6c2860.md,Wedding Planning (Personal - Unrelated to Business),Madwa  Complete Plan.md
#L01f35b Food Items Master List #U2014 Sabhi Functions 36ab3416c76d81e386c7ded069744fd1.md,Miscellaneous & Uncategorized,Food Items Master List  Sabhi Functions.md
#L01f37d#Ufe0f Catering & Menu Planner 36ab3416c76d818eace4c11bad7e9691.md,Wedding Planning (Personal - Unrelated to Business),Catering & Menu Planner.md
#L01f389 Reception Dawat #U2014 Complete Plan 36ab3416c76d81188dbcf2e6ba49e174.md,Wedding Planning (Personal - Unrelated to Business),Reception Dawat  Complete Plan.md
#L01f38a #U0936#U093e#U0926#U0940 Planning Hub #U2014 Complete System 36ab3416c76d8147a108fbde458d2c92.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,Planning Hub  Complete System.md
#L01f38a #U0936#U093e#U0926#U0940 Planning Hub 36ab3416c76d81019e93f91297d287c8.md,Miscellaneous & Uncategorized,Planning Hub.md
#L01f393 DIVISION 4 TRAINING & CERTIFICATION 291b3416c76d8095b26de1539c7d0d3f.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,DIVISION 4 TRAINING & CERTIFICATION.md
#L01f393 Nivy Academy #U2014 Division Home 348b3416c76d8101bdcdec5bea99d683.md,Nivy Academy,Nivy Academy  Division Home.md
#L01f393 Nivy Academy #U2014 Launch Planning 354b3416c76d8107ac9cc285ed9d1269.md,Nivy Academy,Nivy Academy  Launch Planning.md
#L01f3a8 Brand & Communication Guidelines 34cb3416c76d809581b2e98ecc7a5e1e.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Brand & Communication Guidelines.md
#L01f3a8 Graphic Design #U2014 Service Page 355b3416c76d810280d7ffd90fc79424.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Graphic Design  Service Page.md
#L01f3a8 Graphic Design Packages #U2014 UAE 2b3b3416c76d8039b305e490d8e9f619.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Graphic Design Packages  UAE.md
#L01f3a8 Graphic Designing #U2014 Service Page 355b3416c76d81e4a1aee2a8c98c6881.md,Nivy Next (Digital Marketing & AI),Graphic Designing  Service Page.md
