Platform Name,Category,Last Updated,Listing ID,Market,Notes,Priority,Profile URL,Review Count,Review Target,Status
NASSCOM,🌐 Global Agency,,24,🇮🇳 India,Phase 6+ — India tech credibility,🟢 Low,,0,0,⬜ Not Listed
LinkedIn Company Page,🌐 Global Agency,,23,Global,,🔴 Critical,,0,0,⬜ Not Listed
GoodFirms,🌐 Global Agency,,3,Global,,🟠 High,,0,5,⬜ Not Listed
DesignRush,🌐 Global Agency,,4,"Global, 🇺🇸 USA",,🟠 High,,0,5,⬜ Not Listed
Capterra,⭐ Reviews,,10,"Global, 🇺🇸 USA",,🟡 Medium,,0,5,⬜ Not Listed
Behance,📁 Portfolio,,22,Global,Creative/design work portfolio,🟡 Medium,,0,0,⬜ Not Listed
IndiaMART,🇮🇳 India B2B,,17,🇮🇳 India,Huge inbound lead source for India market,🔴 Critical,,0,20,⬜ Not Listed
Yellow Pages India,🇮🇳 India Local,,21,🇮🇳 India,SEO signal,🟡 Medium,,0,0,⬜ Not Listed
Google Business Profile,🌐 Global Agency,,1,"Global, 🇮🇳 India",#1 priority — most impactful for local and global SEO,🔴 Critical,,0,50,⬜ Not Listed
Trustpilot,⭐ Reviews,,7,Global,,🟠 High,,0,15,⬜ Not Listed
G2,⭐ Reviews,,9,"Global, 🇺🇸 USA",,🟡 Medium,,0,5,⬜ Not Listed
TradeIndia,🇮🇳 India B2B,,20,🇮🇳 India,,🟡 Medium,,0,5,⬜ Not Listed
SortList,🌐 Global Agency,,14,🇬🇧 UK,Europe market focus,🟡 Medium,,0,3,⬜ Not Listed
http://Clutch.co,🌐 Global Agency,,2,"Global, 🇬🇧 UK, 🇺🇸 USA",Best for international B2B agency leads,🔴 Critical,,0,10,⬜ Not Listed
Agency Spotter,🌐 Global Agency,,15,🇺🇸 USA,,🟡 Medium,,0,3,⬜ Not Listed
AngelList / Wellfound,💡 Startup,,13,"Global, 🇺🇸 USA",,🟡 Medium,,0,0,⬜ Not Listed
IAMAI,🌐 Global Agency,,25,🇮🇳 India,India Digital industry body,🟢 Low,,0,0,⬜ Not Listed
Upwork,💼 Freelance,,5,"Global, 🇬🇧 UK, 🇺🇸 USA",Direct inbound leads — clients actively hiring VAs,🔴 Critical,,0,20,⬜ Not Listed
Crunchbase,💡 Startup,,8,Global,,🟡 Medium,,0,0,⬜ Not Listed
Sulekha,🇮🇳 India Local,,19,🇮🇳 India,,🟠 High,,0,5,⬜ Not Listed
http://Bark.com,🤝 B2B Marketplace,,12,"🇦🇺 Australia, 🇬🇧 UK, 🇺🇸 USA",,🟠 High,,0,10,⬜ Not Listed
Fiverr Business,💼 Freelance,,6,Global,,🟠 High,,0,10,⬜ Not Listed
The Manifest,🌐 Global Agency,,16,Global,,🟡 Medium,,0,3,⬜ Not Listed
PeoplePerHour,💼 Freelance,,11,🇬🇧 UK,UK & Europe market,🟠 High,,0,10,⬜ Not Listed
JustDial,🇮🇳 India Local,,18,🇮🇳 India,,🟠 High,,0,10,⬜ Not Listed
Product Hunt,💡 Startup,,26,Global,For tool/service launches,🟡 Medium,,0,0,⬜ Not Listed
