Task name,Assigned Date,Assigned To,Assignee,Attach file,Description,Due date,Effort level,Priority,Status,Task type,Updated at
Create Franchise Outsourcing Docs,,,,,,15/10/2025,Medium,High,In progress,💅 Polish,"October 19, 2025 12:32 AM"
Create Accountant Outsourcing Docs,,,,,,28/02/2025,Small,Low,Not started,💬 Feature request,"October 17, 2025 9:37 PM"
"Create Digital Marketing Outsourcing Docs ",,,,,,28/02/2025,Small,Low,Not started,💬 Feature request,"October 17, 2025 9:37 PM"
" Start Sales and Marketing,  Systems are roughly made,To find flaws and make it professional start it",,"Abhishek, Shreya",,,,,,Ultra High,Not started,,"October 19, 2025 12:32 AM"
Train & Start Philipines Sales Team,,Abhishek,,,,,,Medium,Not started,,"October 19, 2025 12:32 AM"
Find CPA and Partner with them,,Shreya,,,,,,Low,Done,,"December 5, 2025 5:46 PM"
Update Online Presence,,"Abhishek, Shreya",,,,,,Ultra High,Not started,,"October 19, 2025 12:33 AM"
Review Sales Agreement,,Ekta,,,,,,Low,Not started,,"October 19, 2025 12:31 AM"
Review BDE Offer Letter,,Ekta,,,,19/10/2025,,Ultra High,Done,,"December 5, 2025 5:46 PM"
INcrease online presence of our company,05/12/2025,,,,,16/12/2025,,Ultra High,Not started,,"December 5, 2025 5:51 PM"
Make GAOS,05/12/2025,,,,,,,Low,Not started,,"December 5, 2025 5:51 PM"
