Name (Title),Category,Department,Last Edited,Linked DB,Owner,Parent Page,Status,Subcategory,Tags,Type,URL (Auto-Link)
Executive Summary,Business Plan,,Oct 2025,,,Business Plan,Published,Executive Summary,,Page,Executive Summary (https://app.notion.com/p/29bb3416c76d81078f14d0492adb0665?pvs=21)
Market Analysis,Business Plan,,Oct 2025,,,Business Plan,Published,Market Analysis,,Page,Market Analysis (https://app.notion.com/p/29bb3416c76d81ba91b4d3d22dc15aae?pvs=21)
Products & Services,Business Plan,,,,,Business Plan,Final,Products & Services,,Page,
Operations Plan,Business Plan,,,,,Business Plan,Draft,Operations Plan,,Page,
Organizational Structure,Business Plan,,,,,Business Plan,Final,Organizational Structure,,Page,
Financial Plan,Business Plan,,Oct 2025,,,Business Plan,Published,Financial Plan,,Page,Financial Plan (https://app.notion.com/p/29bb3416c76d8194b937cc5a88933592?pvs=21)
Risk & Mitigation,Business Plan,,Oct 2025,,,Business Plan,Published,Risk & Mitigation,,Page,Risk & Mitigation (https://app.notion.com/p/29bb3416c76d81dd8c67eea46f12ff82?pvs=21)
Growth Strategy,Business Plan,,,,,Business Plan,Final,Growth Strategy,,Page,
Appendix,Business Plan,,Oct 2025,,,Business Plan,Published,Appendix,,Page,Appendix (https://app.notion.com/p/29bb3416c76d81a08937f303c38f6305?pvs=21)
Customer Segments,Business Model,,Oct 2025,,,Business Model Canvas,Published,Customer Segments,,Page,Customer Segments (https://app.notion.com/p/29bb3416c76d818fa61ccc90724d3dbf?pvs=21)
Value Propositions,Business Model,,Oct 2025,,,Business Model Canvas,Published,Value Propositions,,Page,Value Propositions (https://app.notion.com/p/29bb3416c76d81dbaa1fc4b134b49a9a?pvs=21)
Channels,Business Model,,Oct 2025,,,Business Model Canvas,Published,Channels,,Page,Channels (https://app.notion.com/p/29bb3416c76d81d7ac72ec53cd5b9eb7?pvs=21)
Customer Relationships,Business Model,,,,,Business Model Canvas,Final,Customer Relationships,,Page,
Revenue Streams,Business Model,,,,,Business Model Canvas,Draft,Revenue Streams,,Page,
Key Activities,Business Model,,Oct 2025,,,Business Model Canvas,Published,Key Activities,,Page,Key Activities (https://app.notion.com/p/29bb3416c76d81d48ae2cb7e26134c27?pvs=21)
Key Resources,Business Model,,Oct 2025,,,Business Model Canvas,Published,Key Resources,,Page,Key Resources (https://app.notion.com/p/29bb3416c76d8173b6d1e99f2a8d64a1?pvs=21)
Key Partners,Business Model,,Oct 2025,,,Business Model Canvas,Published,Key Partners,,Page,Key Partners (https://app.notion.com/p/29bb3416c76d81068204cecf72501b5d?pvs=21)
Cost Structure,Business Model,,,,,Business Model Canvas,Draft,Cost Structure,,Page,
Business Model Summary,Business Model,,,,,Business Model Canvas,Final,Business Model Summary,,Page,
CEO Office Dashboard,Dashboard,CEO Office,,reports_database,,Reports,Published,Reports,,Page,
Finance Dashboard,Dashboard,Finance,,reports_database,,Reports,Published,Reports,,Page,
Marketing Dashboard,Dashboard,Marketing,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Marketing Dashboard (https://app.notion.com/p/29bb3416c76d81a4a917ff1b4a0e67da?pvs=21)
Technology Dashboard,Dashboard,Technology,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Technology Dashboard (https://app.notion.com/p/29bb3416c76d8119a6dbde1ec3d41afc?pvs=21)
Project Management Dashboard,Dashboard,Project Management,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Project Management Dashboard (https://app.notion.com/p/29bb3416c76d81bcb90df545268c8faa?pvs=21)
Sales Dashboard,Dashboard,Sales,,reports_database,,Reports,Published,Reports,,Page,
Operations Dashboard,Dashboard,Operations,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Operations Dashboard (https://app.notion.com/p/29bb3416c76d817ea924f8288c4a80bb?pvs=21)
HR Dashboard,Dashboard,HR,,reports_database,,Reports,Published,Reports,,Page,
SOP: Operations Delivery Workflow,SOP,Operations,Oct 2025,sop_database,,SOPs,Published,Process,,Page,SOP: Operations Delivery Workflow (https://app.notion.com/p/29bb3416c76d81cf87ccf021e12a4b37?pvs=21)
Project: Q4 Client Acquisition,Project,Marketing,,projects_database,,Projects,In Progress,Project,,Page,
Project: Internal Audit,Project,Operations,,projects_database,,Projects,Not Started,Project,,Page,
Project: Product Launch,Project,Marketing,,projects_database,,Projects,In Progress,Project,,Page,
Service Agreement Template,Company Document,,,company_documents_database,,Company Documents,Final,Document,,File,
FY25 Balance Sheet,Company Document,,,company_documents_database,,Company Documents,Final,Document,,File,
Employee Handbook,Company Document,,Oct 2025,company_documents_database,,Company Documents,Published,Document,,File,Employee Handbook (https://app.notion.com/p/29bb3416c76d81e5bacafd3321bc22cc?pvs=21)
Brand Guidelines,Company Document,,Oct 2025,company_documents_database,,Company Documents,Published,Document,,File,Brand Guidelines (https://app.notion.com/p/29bb3416c76d81ee9be4ce8967f9c756?pvs=21)
