Name (Title),Category,Department,Last Edited,Linked DB,Owner,Parent Page,Status,Subcategory,Tags,Type,URL (Auto-Link)
Executive Summary,Business Plan,,,,,Business Plan,Final,Executive Summary,,Page,
Company Overview,Business Plan,,,,,Business Plan,Final,Company Overview,,Page,
Market Analysis,Business Plan,,,,,Business Plan,Draft,Market Analysis,,Page,
Products & Services,Business Plan,,,,,Business Plan,Final,Products & Services,,Page,
Operations Plan,Business Plan,,,,,Business Plan,Draft,Operations Plan,,Page,
Organizational Structure,Business Plan,,,,,Business Plan,Final,Organizational Structure,,Page,
Financial Plan,Business Plan,,,,,Business Plan,Final,Financial Plan,,Page,
Risk & Mitigation,Business Plan,,,,,Business Plan,Final,Risk & Mitigation,,Page,
Appendix,Business Plan,,,,,Business Plan,Final,Appendix,,Page,
Growth Strategy,Business Plan,,,,,Business Plan,Final,Growth Strategy,,Page,
Customer Segments,Business Model,,,,,Business Model Canvas,Final,Customer Segments,,Page,
Value Propositions,Business Model,,,,,Business Model Canvas,Final,Value Propositions,,Page,
Customer Relationships,Business Model,,,,,Business Model Canvas,Final,Customer Relationships,,Page,
Channels,Business Model,,,,,Business Model Canvas,Final,Channels,,Page,
Revenue Streams,Business Model,,,,,Business Model Canvas,Draft,Revenue Streams,,Page,
Key Activities,Business Model,,,,,Business Model Canvas,Final,Key Activities,,Page,
Key Resources,Business Model,,,,,Business Model Canvas,Final,Key Resources,,Page,
Key Partners,Business Model,,,,,Business Model Canvas,Final,Key Partners,,Page,
Cost Structure,Business Model,,,,,Business Model Canvas,Draft,Cost Structure,,Page,
Business Model Summary,Business Model,,,,,Business Model Canvas,Final,Business Model Summary,,Page,
CEO Office Overview,Department,CEO Office,,,,CEO Office,Final,Overview,,Page,
CEO Office Dashboard,Dashboard,CEO Office,,reports_database,,Reports,Published,Reports,,Page,
Finance Dashboard,Dashboard,Finance,,reports_database,,Reports,Published,Reports,,Page,
Marketing Dashboard,Dashboard,Marketing,,reports_database,,Reports,Published,Reports,,Page,
Project Management Overview,Department,Project Management,,,,Project Management,Final,Overview,,Page,
Project Management Dashboard,Dashboard,Project Management,,reports_database,,Reports,Published,Reports,,Page,
Operations Overview,Department,Operations,,,,Operations,Final,Overview,,Page,
Operations Dashboard,Dashboard,Operations,,reports_database,,Reports,Published,Reports,,Page,
HR Overview,Department,HR,,,,HR,Final,Overview,,Page,
HR Dashboard,Dashboard,HR,,reports_database,,Reports,Published,Reports,,Page,
Accounting & Finance Overview,Department,Accounting & Finance,,,,Accounting & Finance,Final,Overview,,Page,
Accounting & Finance Dashboard,Dashboard,Accounting & Finance,,reports_database,,Reports,Published,Reports,,Page,
SOP: Client Onboarding,SOP,Marketing,,sop_database,,SOPs,Published,Process,,Page,
SOP: Recruitment Process,SOP,HR,,sop_database,,SOPs,Published,Process,,Page,
SOP: Finance Close Process,SOP,Finance,,sop_database,,SOPs,Published,Process,,Page,
SOP: Marketing Campaign SOP,SOP,Marketing,,sop_database,,SOPs,Published,Process,,Page,
SOP: Operations Delivery Workflow,SOP,Operations,,sop_database,,SOPs,In Progress,Process,,Page,
Project: Website Redesign,Project,Marketing,,projects_database,,Projects,In Progress,Project,,Page,
Project: Q4 Client Acquisition,Project,Marketing,,projects_database,,Projects,In Progress,Project,,Page,
Project: Internal Audit,Project,Operations,,projects_database,,Projects,Not Started,Project,,Page,
Project: Product Launch,Project,Marketing,,projects_database,,Projects,In Progress,Project,,Page,
Service Agreement Template,Company Document,,,company_documents_database,,Company Documents,Final,Document,,File,
FY25 Balance Sheet,Company Document,,,company_documents_database,,Company Documents,Final,Document,,File,
Employee Handbook,Company Document,,,company_documents_database,,Company Documents,Final,Document,,File,
