Task name,Assigned Date,Assigned To,Assignee,Attach file,Description,Due date,Effort level,Priority,Status,Task type,Updated at
INcrease online presence of our company,05/12/2025,,,,,16/12/2025,,Ultra High,Not started,,"May 5, 2026 8:18 PM"
" Start Sales and Marketing,  Systems are roughly made,To find flaws and make it professional start it",,"Abhishek, Shreya",,,,,,Ultra High,Not started,,"May 5, 2026 8:18 PM"
Make GAOS,05/12/2025,,,,,,,Low,Not started,,"May 5, 2026 8:18 PM"
Create Franchise Outsourcing Docs,,,,,,15/10/2025,Medium,High,In progress,💅 Polish,"May 5, 2026 8:18 PM"
Create Accountant Outsourcing Docs,,,,,,28/02/2025,Small,Low,Not started,💬 Feature request,"May 5, 2026 8:18 PM"
"Create Digital Marketing Outsourcing Docs ",,,,,,28/02/2025,Small,Low,Not started,💬 Feature request,"May 5, 2026 8:18 PM"
Train & Start Philipines Sales Team,,Abhishek,,,,,,Medium,Not started,,"May 5, 2026 8:18 PM"
Find CPA and Partner with them,,Shreya,,,,,,Low,Done,,"May 5, 2026 8:18 PM"
Update Online Presence,,"Abhishek, Shreya",,,,,,Ultra High,Not started,,"May 5, 2026 8:18 PM"
Review Sales Agreement,,Ekta,,,,,,Low,Not started,,"May 5, 2026 8:18 PM"
Review BDE Offer Letter,,Ekta,,,,19/10/2025,,Ultra High,Done,,"May 5, 2026 8:18 PM"
