Name (Title),Brand,Category,Department,Last Edited,Linked DB,Owner,Parent Page,Status,Subcategory,Tags,Type,URL (Auto-Link)
Executive Summary,,Business Plan,,Oct 2025,,,Business Plan,Published,Executive Summary,,Page,Executive Summary (https://app.notion.com/p/844eb94b1a2a82c4834d81e0b85b14b6?pvs=21)
Customer Segments,,Business Model,,Oct 2025,,,Business Model Canvas,Published,Customer Segments,,Page,Customer Segments (https://app.notion.com/p/011eb94b1a2a833d8d5181538deeee61?pvs=21)
Value Propositions,,Business Model,,Oct 2025,,,Business Model Canvas,Published,Value Propositions,,Page,Value Propositions (https://app.notion.com/p/33aeb94b1a2a830ea51b0154170e26ef?pvs=21)
Market Analysis,,Business Plan,,Oct 2025,,,Business Plan,Published,Market Analysis,,Page,Market Analysis (https://app.notion.com/p/ccbeb94b1a2a83a5b33c81c0086ab308?pvs=21)
Channels,,Business Model,,Oct 2025,,,Business Model Canvas,Published,Channels,,Page,Channels (https://app.notion.com/p/f88eb94b1a2a824396cd01cfb764733a?pvs=21)
Customer Relationships,,Business Model,,,,,Business Model Canvas,Final,Customer Relationships,,Page,
Revenue Streams,,Business Model,,,,,Business Model Canvas,Draft,Revenue Streams,,Page,
Key Activities,,Business Model,,Oct 2025,,,Business Model Canvas,Published,Key Activities,,Page,Key Activities (https://app.notion.com/p/7f9eb94b1a2a8379a6fb0149decb1a17?pvs=21)
Key Resources,,Business Model,,Oct 2025,,,Business Model Canvas,Published,Key Resources,,Page,Key Resources (https://app.notion.com/p/cdceb94b1a2a83a5b56f815cc77a4dc6?pvs=21)
Products & Services,,Business Plan,,,,,Business Plan,Final,Products & Services,,Page,
Key Partners,,Business Model,,Oct 2025,,,Business Model Canvas,Published,Key Partners,,Page,Key Partners (https://app.notion.com/p/a86eb94b1a2a835aaefd810e6e884662?pvs=21)
Cost Structure,,Business Model,,,,,Business Model Canvas,Draft,Cost Structure,,Page,
Business Model Summary,,Business Model,,,,,Business Model Canvas,Final,Business Model Summary,,Page,
Organizational Structure,,Business Plan,,,,,Business Plan,Final,Organizational Structure,,Page,
Financial Plan,,Business Plan,,Oct 2025,,,Business Plan,Published,Financial Plan,,Page,Financial Plan (https://app.notion.com/p/03feb94b1a2a82d5acc4012834710cc9?pvs=21)
Risk & Mitigation,,Business Plan,,Oct 2025,,,Business Plan,Published,Risk & Mitigation,,Page,Risk & Mitigation (https://app.notion.com/p/383eb94b1a2a83e1a2350137f4c4a14b?pvs=21)
Growth Strategy,,Business Plan,,,,,Business Plan,Final,Growth Strategy,,Page,
Appendix,,Business Plan,,Oct 2025,,,Business Plan,Published,Appendix,,Page,Appendix (https://app.notion.com/p/b3aeb94b1a2a825a9fa40168b5b0105b?pvs=21)
Project Management Dashboard,,Dashboard,Project Management,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Project Management Dashboard (https://app.notion.com/p/488eb94b1a2a825ab8d101f7be08d8f2?pvs=21)
Sales Dashboard,,Dashboard,Sales,,reports_database,,Reports,Published,Reports,,Page,
Operations Dashboard,,Dashboard,Operations,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Operations Dashboard (https://app.notion.com/p/172eb94b1a2a8339b51481169e2c6755?pvs=21)
HR Dashboard,,Dashboard,HR,,reports_database,,Reports,Published,Reports,,Page,
SOP: Operations Delivery Workflow,,SOP,Operations,Oct 2025,sop_database,,SOPs,Published,Process,,Page,SOP: Operations Delivery Workflow (https://app.notion.com/p/3dfeb94b1a2a82999938811da1cdb347?pvs=21)
Project: Q4 Client Acquisition,,Project,Marketing,,projects_database,,Projects,In Progress,Project,,Page,
Project: Internal Audit,,Project,Operations,,projects_database,,Projects,Not Started,Project,,Page,
Project: Product Launch,,Project,Marketing,,projects_database,,Projects,In Progress,Project,,Page,
Service Agreement Template,,Company Document,,,company_documents_database,,Company Documents,Final,Document,,File,
FY25 Balance Sheet,,Company Document,,,company_documents_database,,Company Documents,Final,Document,,File,
CEO Office Dashboard,,Dashboard,CEO Office,,reports_database,,Reports,Published,Reports,,Page,
Finance Dashboard,,Dashboard,Finance,,reports_database,,Reports,Published,Reports,,Page,
Marketing Dashboard,,Dashboard,Marketing,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Marketing Dashboard (https://app.notion.com/p/bd1eb94b1a2a8318973c01bca782e41e?pvs=21)
Employee Handbook,,Company Document,,Oct 2025,company_documents_database,,Company Documents,Published,Document,,File,Employee Handbook (https://app.notion.com/p/691eb94b1a2a838591358139329d24f6?pvs=21)
Technology Dashboard,,Dashboard,Technology,Oct 2025,reports_database,,Reports,Published,Reports,,Page,Technology Dashboard (https://app.notion.com/p/900eb94b1a2a831a98fa81af64604f56?pvs=21)
Brand Guidelines,,Company Document,,Oct 2025,company_documents_database,,Company Documents,Published,Document,,File,Brand Guidelines (https://app.notion.com/p/361eb94b1a2a839db659810157638cf2?pvs=21)
